Country,Code,ContinentCode,Year,Economic growth: the rate of change of real GDP,Gross Domestic Product billions of 2010 U.S. dollars,Unemployment rate,Exports of goods and services billion USD,Exports of goods and services annual growth,Imports of goods and services billion USD,Current account balance billion USD,Research and development expenditure percent of GDP,Public spending on education percent of GDP
France,FRA,EU,2019,1.84,2616.8,8.41,862.11,1.62,888.23,13.7,2.19,5.35
France,FRA,EU,2020,-7.78,2413.1,8.01,724.41,-16.83,776.23,-46.34,2.35,5.5
France,FRA,EU,2021,6.82,2577.6,7.86,871.06,8.77,928.51,9.95,,
France,FRA,EU,2022,2.56,2643.6,7.45,946.54,7.01,1061.14,-59.5,,
Germany,DEU,EU,2017,2.68,3524.5,3.75,1740.72,4.9,1479.08,289.66,3.05,4.87
Germany,DEU,EU,2018,0.98,3559,3.38,1880.26,2.22,1637.91,316.89,3.11,4.98
Germany,DEU,EU,2019,1.06,3596.6,3.14,1814.62,1.27,1594.83,317.89,3.17,5.12
Germany,DEU,EU,2020,-3.7,3463.7,3.86,1673.07,-9.27,1454.16,275.87,3.14,4.66
Germany,DEU,EU,2021,2.63,3554.7,3.57,2003.47,9.71,1776.91,329.97,,
Germany,DEU,EU,2022,1.79,3618.1,2.99,2049.85,2.87,1966.11,172.72,,
Hong Kong,HKG,AS,2017,3.8,328.1,3.12,644.67,5.85,641.23,15.62,0.84,3.31
Hong Kong,HKG,AS,2018,2.85,337.5,2.81,681.28,3.65,682.06,13.51,0.86,3.33
Hong Kong,HKG,AS,2019,-1.67,331.8,2.92,645.01,-6.15,639.35,21.25,0.93,3.81
Hong Kong,HKG,AS,2020,-6.54,310.1,5.81,608.15,-6.68,601.5,24.13,0.99,4.41
Hong Kong,HKG,AS,2021,6.44,330.1,5.17,752.72,17.04,732.18,43.66,,4
Hong Kong,HKG,AS,2022,-3.48,318.6,5.06,697.59,-12.61,683.44,38.6,,
India,IND,AS,2017,6.8,2432,7.73,498.26,4.56,582.02,-38.17,0.67,4.31
India,IND,AS,2018,6.45,2589,7.65,538.64,11.93,640.3,-65.6,0.66,4.36
India,IND,AS,2019,3.87,2689.2,6.51,529.25,-3.38,602.32,-29.76,,4.41
India,IND,AS,2020,-5.83,2532.4,10.19,499.73,-9.14,510.24,32.73,,4.47
India,IND,AS,2021,9.05,2761.6,7.71,677.77,29.29,760.9,-33.42,,
India,IND,AS,2022,7,2955,7.33,759.93,11.5,911.39,-80.43,,
Ireland,IRL,EU,2017,9.01,324.4,6.71,407.07,9.63,332.97,3.4,1.26,3.51
Ireland,IRL,EU,2018,8.53,352.1,5.74,473.63,9.8,363.72,24.17,1.17,3.39
Ireland,IRL,EU,2019,5.44,371.3,4.95,510.65,11.85,496.64,-44.93,1.23,3.29
Ireland,IRL,EU,2020,6.18,394.2,5.62,567.82,11.17,487.3,-27.41,1.23,3.1
Ireland,IRL,EU,2021,13.59,447.8,6.19,677.7,14.07,479.13,72.22,,
