country,Code,ContinentCode,year,GDP per capita constant 2010 dollars,Capital investment as percent of GDP,Capital investment billion USD,Household consumption as percent of GDP,Household consumption billion USD,Labor force million people,Government spending as percent of GDP,Government spending billion USD,Tax revenue percent of GDP,Population growth percent,Happiness Index 0 (unhappy) - 10 (happy),Economic growth: the rate of change of real GDP,Gross Domestic Product billions of 2010 U.S. dollars,Unemployment rate,Exports of goods and services billion USD,Exports of goods and services annual growth,Imports of goods and services billion USD,Current account balance billion USD,Research and development expenditure percent of GDP,Public spending on education percent of GDP,ranking index
Norway,NOR,EU,2022,79638.75,20.64,119.54,32.41,187.75,2.98,18.6,107.77,,0.9,7.32,3.28,434.6,3.17,322.5,5.91,158.29,175.37,,,99
Russia,RUS,EU,2017,9473.19,23.61,371.62,52.87,832.3,74.61,18.22,286.77,10.29,0.11,5.96,1.83,1391.1,5.21,410.72,5.01,327.21,32.18,1.11,4.69,93
Russia,RUS,EU,2018,9739.91,21.92,363.25,50.37,834.73,74.5,17.71,293.52,11.47,-0.01,5.81,2.81,1430.1,4.85,510.35,5.55,344.52,115.68,0.99,4.68,105
Russia,RUS,EU,2019,9958.47,22.66,383.69,51.6,873.63,73.6,18.1,306.48,10.94,-0.05,5.65,2.2,1461.6,4.5,481.41,0.73,352.09,65.63,1.04,3.52,111
Russia,RUS,EU,2020,9714.38,23.46,350.21,51.5,768.87,73.06,19.97,298.18,10.8,-0.23,5.48,-2.65,1422.8,5.59,381.07,-4.17,305.26,35.37,1.1,3.73,116
Russia,RUS,EU,2021,10301.67,23.21,426.26,49.22,904.19,73.37,17.33,318.32,11.65,-0.43,5.46,5.61,1502.6,4.72,549.14,3.28,379.55,122.26,,,127
Russia,RUS,EU,2022,10078.9,22.29,499.29,48.3,1082.14,,17.67,395.8,,0.07,5.66,-2.07,1471.5,,631.55,-13.89,349.17,233.02,,,123
Saudi Arabia,SAU,AS,2017,20028.21,28.8,205.89,42.35,302.83,13.93,23.53,168.26,3.26,2.3,6.34,-0.07,684.8,5.89,239.99,-3.08,201.98,10.46,,8.02,11
Saudi Arabia,SAU,AS,2018,20096.55,26.12,221.15,37.83,320.3,14.52,23.6,199.8,8.29,2.38,6.37,2.76,703.7,6.03,314.92,7.16,209.59,71.97,,7.09,28
Saudi Arabia,SAU,AS,2019,19806.12,28.3,237.28,40.32,338.11,15.49,23.4,196.26,7.0,2.28,6.37,0.83,709.6,5.64,285.86,-5.0,218.94,38.23,,6.79,12
Saudi Arabia,SAU,AS,2020,18856.91,27.69,203.33,44.26,324.99,16.0,27.96,205.29,8.24,0.47,6.49,-4.34,678.8,7.45,182.85,-10.6,182.18,-22.81,0.52,7.81,14
Saudi Arabia,SAU,AS,2021,19621.89,25.13,218.26,42.45,368.75,15.68,23.96,208.09,,-0.13,6.52,3.92,705.4,6.69,286.5,1.01,213.02,44.32,,,73
Saudi Arabia,SAU,AS,2022,21069.0,27.28,302.25,35.69,395.49,15.91,20.33,225.32,,1.27,6.46,8.74,767.1,5.64,442.35,18.69,257.27,150.75,,,127
Singapore,SGP,AS,2017,59440.2,27.29,93.68,35.19,120.8,3.47,10.19,34.98,13.99,0.09,6.57,4.54,333.6,4.2,588.93,7.51,497.45,62.26,1.9,2.77,377
Singapore,SGP,AS,2018,61276.95,24.76,93.31,34.49,129.98,3.47,9.98,37.61,13.01,0.47,6.34,3.58,345.5,3.64,668.38,7.81,557.19,59.23,1.81,2.86,376
Singapore,SGP,AS,2019,61386.23,24.6,92.69,35.32,133.11,3.53,10.24,38.6,13.15,1.14,6.26,1.33,350.1,3.1,661.71,0.24,550.59,60.88,1.89,2.74,379
Singapore,SGP,AS,2020,59175.81,22.62,78.81,32.19,112.16,3.51,12.23,42.62,12.77,-0.31,6.38,-3.9,336.5,4.1,634.03,0.43,525.32,57.32,,2.51,379
Singapore,SGP,AS,2021,67175.87,23.08,97.81,29.48,124.93,3.42,10.78,45.68,13.12,-4.17,6.48,8.88,366.3,3.54,781.07,11.71,631.62,76.37,,2.81,378
Singapore,SGP,AS,2022,67359.79,21.92,102.33,29.85,139.34,3.49,10.02,46.76,,3.31,6.59,3.65,379.7,2.76,870.81,-1.3,701.63,90.24,,,379
South Korea,KOR,AS,2017,30307.39,32.29,524.33,47.55,772.09,28.35,15.42,250.39,14.49,0.28,5.84,3.16,1556.6,3.65,664.73,2.48,587.64,75.23,4.29,4.33,755
South Korea,KOR,AS,2018,31053.64,31.49,543.11,48.02,828.33,28.51,16.05,276.87,15.54,0.43,5.88,2.91,1601.9,3.82,719.49,3.98,642.95,77.47,4.52,4.46,798
South Korea,KOR,AS,2019,31640.21,31.49,520.11,48.63,803.13,28.81,17.08,282.03,15.2,0.35,5.89,2.24,1637.9,3.75,648.61,0.24,602.46,59.68,4.63,4.68,803
South Korea,KOR,AS,2020,31372.47,31.88,524.28,46.39,762.81,28.6,18.04,296.62,14.86,0.14,5.85,-0.71,1626.2,3.93,597.87,-1.71,537.27,75.9,4.81,,808
South Korea,KOR,AS,2021,32730.65,32.09,581.14,46.14,835.5,28.76,18.16,328.87,16.8,-0.18,5.94,4.15,1693.6,3.64,761.24,10.85,696.44,85.23,,,866
South Korea,KOR,AS,2022,33644.65,33.16,552.11,48.38,805.58,29.2,18.73,311.93,,-0.23,5.95,2.56,1737.0,2.79,803.59,3.2,808.09,29.83,,,840
Spain,ESP,EU,2017,27239.35,19.4,254.78,58.33,766.04,22.9,18.66,245.1,13.71,0.23,6.4,2.98,1269.2,17.22,461.35,5.51,414.02,36.86,1.21,4.21,39
Spain,ESP,EU,2018,27739.87,20.47,290.99,58.1,826.05,22.93,18.71,266.06,14.23,0.44,6.31,2.28,1298.2,15.25,499.66,1.73,461.06,26.48,1.24,4.18,62
Spain,ESP,EU,2019,28087.9,20.83,290.43,57.37,799.9,23.14,18.86,263.0,13.75,0.72,6.35,1.98,1323.9,14.1,486.71,2.21,445.72,29.25,1.25,4.23,86
Spain,ESP,EU,2020,24785.45,20.4,260.49,56.11,716.5,22.84,22.03,281.38,13.58,0.49,6.49,-11.33,1174.0,15.53,393.3,-19.94,374.7,8.04,1.41,4.59,57
Spain,ESP,EU,2021,26125.87,20.84,297.49,56.24,802.79,23.38,21.43,305.91,15.23,0.11,6.48,5.52,1238.8,14.78,498.63,14.38,477.43,13.45,,,19
Spain,ESP,EU,2022,27434.88,21.03,293.89,57.03,797.01,23.72,20.53,286.91,,0.42,6.44,5.45,1306.3,13.01,580.68,14.43,560.99,7.58,,,31
Sweden,SWE,EU,2017,52576.81,25.72,139.18,45.72,247.34,5.33,26.02,140.79,28.13,1.35,7.28,2.57,528.8,6.72,236.61,4.13,222.9,15.03,3.36,7.57,402
Sweden,SWE,EU,2018,52983.01,26.01,144.47,45.7,253.83,5.4,26.06,144.75,27.91,1.16,7.31,1.95,539.1,6.36,253.75,4.25,241.34,13.69,3.32,7.64,387
Sweden,SWE,EU,2019,53490.35,25.12,134.13,44.94,239.92,5.46,25.75,137.49,27.41,1.01,7.34,1.99,549.8,6.83,255.24,5.97,232.9,28.51,3.39,7.64,364
Sweden,SWE,EU,2020,51952.67,25.1,137.29,43.98,240.6,5.46,26.44,144.63,26.73,0.72,7.36,-2.17,537.9,8.29,239.87,-5.45,215.34,32.36,3.53,7.17,381
Sweden,SWE,EU,2021,54422.92,25.77,164.12,43.99,280.13,5.51,25.8,164.31,27.34,0.6,7.38,5.39,566.9,8.72,294.72,10.05,266.43,41.55,,,363
Sweden,SWE,EU,2022,55482.0,28.13,164.85,44.36,259.91,5.6,25.08,146.96,,0.68,7.4,2.64,581.8,7.36,308.12,6.6,293.9,25.01,,,447
Switzerland,CHE,EU,2017,84967.59,26.04,181.06,53.37,371.04,4.92,11.51,80.01,10.06,0.93,7.49,1.36,718.1,4.8,461.26,-0.38,398.16,37.15,3.03,4.95,748
Switzerland,CHE,EU,2018,86756.6,25.73,186.72,52.47,380.72,4.96,11.26,81.73,9.69,0.74,7.49,2.86,738.7,4.71,489.6,3.37,413.21,36.64,,4.86,752
Switzerland,CHE,EU,2019,87123.66,26.44,190.71,52.4,378.03,4.97,11.35,81.91,9.91,0.71,7.48,1.14,747.1,4.39,483.07,-0.68,412.35,30.81,3.15,5.09,744
Switzerland,CHE,EU,2020,84434.78,29.8,220.49,51.61,381.89,4.98,12.14,89.82,9.37,0.73,7.57,-2.38,729.4,4.82,475.82,-5.17,428.1,2.25,,5.22,771
Switzerland,CHE,EU,2021,87339.76,26.05,208.57,49.93,399.72,4.98,12.13,97.14,10.25,0.75,7.51,4.22,760.2,5.1,571.43,12.4,476.22,70.55,,,777
Switzerland,CHE,EU,2022,88464.03,25.63,207.04,50.44,407.4,5.02,11.65,94.09,,0.76,7.24,2.06,775.8,4.2,605.58,5.47,506.41,81.46,,,768
United Kingdom,GBR,EU,2017,46499.01,18.35,492.42,64.5,1730.72,34.13,18.61,499.38,25.55,0.68,6.71,2.44,3071.7,4.33,823.09,6.84,862.13,-96.88,1.66,5.38,3299
United Kingdom,GBR,EU,2018,47006.14,18.1,521.0,64.96,1869.75,34.42,18.46,531.44,25.47,0.61,6.81,1.71,3124.0,4.0,898.99,3.15,943.02,-116.99,1.7,5.17,3158
United Kingdom,GBR,EU,2019,47491.59,18.27,521.89,64.33,1838.09,34.7,19.01,543.21,25.04,0.56,7.05,1.6,3174.2,3.74,893.05,1.72,939.19,-80.78,1.71,5.21,3217
United Kingdom,GBR,EU,2020,42098.6,17.26,466.72,59.86,1619.08,34.63,22.52,609.12,24.74,0.37,7.06,-11.03,2824.0,4.47,790.75,-12.08,781.06,-87.81,,5.53,3084
United Kingdom,GBR,EU,2021,45334.16,18.29,571.04,60.59,1891.94,34.31,22.38,698.97,26.38,-0.08,6.94,7.6,3038.6,4.83,899.9,2.24,938.46,-47.05,,,2991
United Kingdom,GBR,EU,2022,47232.27,18.77,576.32,62.89,1931.27,34.46,21.05,646.48,,-0.08,6.8,4.1,3163.2,3.57,1004.8,9.89,1111.59,-121.38,,,3042
United States,USA,,2017,58207.58,20.81,4053.9,67.94,13233.61,163.97,14.0,2726.56,11.58,0.63,6.99,2.24,18924.6,4.36,2388.26,4.27,2924.99,-361.02,2.9,5.11,5809
United States,USA,,2018,59607.39,21.21,4354.22,67.72,13904.98,165.31,13.96,2866.93,9.99,0.53,6.89,2.95,19482.0,3.9,2538.09,2.8,3131.17,-439.85,3.0,4.91,5685
United States,USA,,2019,60698.01,21.32,4558.26,67.32,14392.72,167.1,14.07,3008.78,9.96,0.46,6.89,2.29,19929.0,3.67,2538.45,0.47,3117.24,-445.96,3.17,4.99,5691
United States,USA,,2020,58451.61,21.05,4433.43,67.03,14116.17,165.64,14.9,3138.38,10.14,0.96,6.95,-2.77,19377.4,8.05,2148.62,-13.24,2776.11,-619.7,3.45,6.05,5567
United States,USA,,2021,61829.84,21.1,4920.49,68.21,15902.57,166.19,14.38,3353.73,11.23,0.16,6.98,5.95,20529.5,5.35,2539.65,6.05,3401.36,-846.35,,,5436
United States,USA,,2022,62866.71,,,,,169.23,,,,0.38,6.89,2.06,20952.7,3.61,2100.0,-0.173114406,3957.8,-943.8,,,5309
