country,Code,ContinentCode,year,GDP per capita constant 2010 dollars,Capital investment as percent of GDP,Capital investment billion USD,Household consumption as percent of GDP,Household consumption billion USD,Labor force million people,Government spending as percent of GDP,Government spending billion USD,Tax revenue percent of GDP,Population growth percent,Happiness Index 0 (unhappy) - 10 (happy),Economic growth: the rate of change of real GDP,Gross Domestic Product billions of 2010 U.S. dollars,Unemployment rate,Exports of goods and services billion USD,Exports of goods and services annual growth,Imports of goods and services billion USD,Current account balance billion USD,Research and development expenditure percent of GDP,Public spending on education percent of GDP,ranking index
Belgium,BEL,EU,2017,41825.76,24.46,122.96,51.47,258.78,5.09,23.03,115.8,23.45,0.39,6.89,1.62,475.8,7.09,418.21,5.47,412.99,3.52,2.67,6.43,257
Belgium,BEL,EU,2018,42382.32,25.42,138.08,51.78,281.31,5.14,23.14,125.73,24.01,0.46,6.93,1.79,484.3,5.95,451.37,1.08,453.19,-4.74,2.86,6.38,272
Belgium,BEL,EU,2019,43107.21,25.0,133.97,51.33,275.06,5.19,23.04,123.47,22.63,0.54,6.92,2.26,495.3,5.36,441.54,2.39,438.17,0.51,3.16,6.34,232
Belgium,BEL,EU,2020,40620.11,24.28,127.51,49.41,259.51,5.17,24.6,129.19,22.06,0.43,6.83,-5.36,468.7,5.55,417.26,-5.03,408.27,5.7,3.48,6.71,230
Belgium,BEL,EU,2021,42971.06,26.02,154.65,48.91,290.67,5.26,24.02,142.79,23.35,0.47,6.8,6.29,498.2,6.26,516.06,11.26,509.81,2.92,,,194
Belgium,BEL,EU,2022,44075.86,27.66,160.04,50.58,292.64,5.35,24.18,139.91,,0.66,6.86,3.25,514.3,5.63,551.57,5.07,565.56,-20.25,,,202
Brazil,BRA,SA,2017,8470.94,14.63,301.8,64.49,1330.85,104.08,20.16,416.04,13.61,0.79,6.64,1.32,1766.2,12.93,258.33,4.91,243.51,-25.34,1.12,6.32,90
Brazil,BRA,SA,2018,8553.87,15.1,289.36,64.62,1238.65,105.44,19.9,381.38,13.94,0.79,6.42,1.78,1797.7,12.46,280.54,4.05,272.99,-54.79,1.17,6.09,99
Brazil,BRA,SA,2019,8592.21,15.52,290.67,65.14,1220.34,107.42,19.98,374.35,13.74,0.77,6.3,1.22,1819.7,12.05,264.56,-2.56,276.63,-68.02,1.21,5.96,83
Brazil,BRA,SA,2020,8255.57,16.12,237.89,63.14,932.07,100.64,20.14,297.22,12.72,0.67,6.33,-3.28,1760.1,13.93,242.87,-2.29,233.94,-28.21,,,85
Brazil,BRA,SA,2021,8621.73,19.43,320.44,61.02,1006.52,105.43,18.62,307.12,14.32,0.53,6.29,4.99,1847.9,13.34,322.69,5.87,307.16,-46.36,,,85
Brazil,BRA,SA,2022,8831.13,18.14,348.37,63.07,1211.04,108.38,18.03,346.27,,0.46,6.12,2.9,1901.5,9.46,384.89,5.54,370.47,-57.0,,,77
Canada,CAN,,2017,44325.49,23.55,388.41,57.98,956.18,20.14,20.7,341.45,12.61,1.2,7.32,3.04,1619.9,6.34,518.77,1.45,554.92,-46.24,1.69,4.96,784
Canada,CAN,,2018,44917.48,23.38,403.33,57.89,998.72,20.34,20.68,356.82,13.06,1.41,7.33,2.78,1664.9,5.83,557.71,3.83,591.34,-41.15,1.68,4.89,780
Canada,CAN,,2019,45113.07,23.04,401.8,57.75,1007.08,20.76,20.66,360.31,12.74,1.44,7.28,1.89,1696.3,5.66,564.14,2.71,589.71,-34.03,1.59,4.77,732
Canada,CAN,,2020,42366.49,22.26,366.7,57.19,942.31,20.47,22.81,375.76,13.57,1.07,7.1,-5.07,1610.2,9.46,489.02,-8.85,525.93,-35.37,1.7,5.17,721
Canada,CAN,,2021,44234.54,23.81,476.46,54.4,1088.75,20.96,21.86,437.54,13.26,0.58,7.03,5.01,1690.9,7.46,618.74,1.36,619.57,-5.45,,,753
Canada,CAN,,2022,44910.44,24.54,525.21,54.26,1161.03,21.34,20.98,448.87,,1.82,6.96,3.4,1748.4,5.21,721.52,2.59,717.79,-7.95,,,804
Chile,CHL,SA,2017,13615.52,22.64,62.56,62.08,171.56,8.87,14.65,40.48,17.51,1.56,6.65,1.36,250.1,6.95,78.3,-0.96,76.54,-7.62,0.36,5.42,55
Chile,CHL,SA,2018,13906.77,24.2,71.5,62.06,183.33,9.06,14.86,43.89,18.4,1.8,6.48,3.99,260.1,7.21,84.28,4.89,87.58,-13.27,0.37,5.43,62
Chile,CHL,SA,2019,13761.37,25.02,69.69,61.6,171.55,9.21,15.24,42.43,17.7,1.79,6.44,0.74,262.0,7.27,77.54,-2.55,82.72,-14.51,0.34,5.62,69
Chile,CHL,SA,2020,12741.16,21.13,53.68,58.39,148.36,8.7,16.01,40.69,16.18,1.36,6.17,-6.15,245.9,11.14,79.54,-0.91,68.17,-4.95,,,84
Chile,CHL,SA,2021,14095.78,24.45,77.43,61.66,195.28,9.08,14.66,46.42,19.6,0.99,6.17,11.74,274.8,9.35,101.28,-1.37,103.7,-23.19,,,98
Chile,CHL,SA,2022,14358.35,25.42,76.51,63.86,192.22,9.45,14.4,43.36,,0.57,6.33,2.44,281.5,7.78,107.38,1.37,118.45,-27.1,,,80
China (Mainland),CHN,AS,2017,9053.23,43.01,5295.15,38.54,4744.8,778.67,16.32,2009.67,9.42,0.61,5.27,6.95,12640.3,4.47,2424.22,0.101933208,2208.52,188.68,2.12,3.67,911
China (Mainland),CHN,AS,2018,9619.21,43.79,6085.06,38.52,5352.58,776.28,16.54,2297.64,9.05,0.47,5.25,6.75,13493.4,4.31,2655.61,0.095449258,2564.12,24.13,2.14,3.54,943
China (Mainland),CHN,AS,2019,10155.51,43.25,6176.24,39.25,5604.61,775.32,16.77,2394.82,8.49,0.35,5.19,5.95,14296.4,4.56,2628.94,-0.01004289,2496.15,102.91,2.24,3.54,967
China (Mainland),CHN,AS,2020,10358.17,43.37,6369.59,38.2,5610.76,751.45,17.13,2516.03,8.09,0.24,5.34,2.24,14616.4,5.0,2729.88,0.038395703,2374.74,248.84,2.4,3.57,1004
China (Mainland),CHN,AS,2021,11223.15,43.14,7687.8,38.11,6792.01,780.37,15.81,2817.08,,0.09,5.59,8.45,15851.1,4.55,3554.11,0.301929023,3093.28,352.89,,,1016
China (Mainland),CHN,AS,2022,11560.33,,,,,781.83,,,,-0.01,5.82,2.99,16325.2,4.89,3714.25,0.045057694,3137.59,401.86,,,1013
Denmark,DNK,EU,2017,55735.77,22.05,73.24,46.36,153.97,2.97,24.41,81.08,33.4,0.64,7.52,2.82,321.3,5.83,182.92,4.81,159.09,26.73,2.93,7.75,307
Denmark,DNK,EU,2018,56563.49,22.6,80.64,46.98,167.65,2.99,24.28,86.62,32.24,0.5,7.56,1.99,327.7,5.13,201.83,3.35,179.9,25.76,2.97,6.79,294
Denmark,DNK,EU,2019,57203.03,21.85,75.72,46.95,162.68,3.03,24.13,83.6,34.83,0.36,7.6,1.49,332.6,5.02,203.21,4.51,178.72,30.55,2.89,6.89,270
Denmark,DNK,EU,2020,55898.79,22.66,80.5,46.23,164.22,3.03,24.76,87.96,34.41,0.29,7.62,-1.99,326.0,5.64,195.12,-6.31,172.58,27.99,2.96,6.38,266
Denmark,DNK,EU,2021,58359.59,22.97,91.49,45.6,181.62,3.07,24.3,96.77,35.46,0.43,7.64,4.86,341.8,5.06,237.62,7.99,209.2,35.87,,,277
Denmark,DNK,EU,2022,60113.09,24.56,97.13,42.81,169.28,3.13,22.0,86.97,,0.79,7.59,3.82,354.8,4.17,274.07,8.61,232.05,51.46,,,268
Finland,FIN,EU,2017,45173.63,24.01,61.37,53.16,135.9,2.72,22.79,58.26,20.73,0.23,7.47,3.19,248.8,8.64,95.99,8.82,95.88,-1.95,2.73,6.36,177
Finland,FIN,EU,2018,45627.92,25.27,69.67,53.09,146.36,2.75,22.9,63.14,20.82,0.13,7.63,1.14,251.7,7.36,106.06,1.5,109.52,-5.16,2.76,6.28,161
Finland,FIN,EU,2019,46135.88,24.09,64.69,52.56,141.14,2.76,23.19,62.26,20.67,0.11,7.77,1.22,254.7,6.69,107.09,6.67,106.67,-0.88,2.8,6.42,152
Finland,FIN,EU,2020,44984.73,24.52,66.68,51.15,139.07,2.75,24.25,65.94,19.87,0.14,7.84,-2.35,248.7,7.76,97.3,-7.76,97.09,1.8,2.94,5.88,160
Finland,FIN,EU,2021,46259.2,24.07,71.33,51.23,151.84,2.77,24.61,72.95,20.66,0.21,7.82,3.05,256.3,7.61,117.23,6.0,116.96,1.45,,,170
Finland,FIN,EU,2022,47088.33,27.3,76.66,51.86,145.64,2.82,24.32,68.28,,0.29,7.8,2.08,261.7,6.8,126.07,1.72,133.8,-11.06,,,183
France,FRA,EU,2017,37694.08,23.44,608.2,53.98,1400.98,30.55,23.64,613.6,23.63,0.29,6.44,2.29,2522.4,9.41,803.16,4.39,830.79,-17.98,2.2,5.45,433
France,FRA,EU,2018,38259.7,23.86,665.85,53.88,1503.82,30.69,23.27,649.5,24.17,0.36,6.49,1.87,2569.5,9.02,885.11,4.53,913.32,-24.38,2.2,5.41,438
France,FRA,EU,2019,38832.02,24.36,664.88,53.61,1462.92,30.65,22.98,627.19,24.51,0.34,6.59,1.84,2616.8,8.41,862.11,1.62,888.23,13.7,2.19,5.35,526
France,FRA,EU,2020,35712.07,23.72,625.99,53.31,1406.79,30.38,24.94,658.04,24.72,0.27,6.69,-7.78,2413.1,8.01,724.41,-16.83,776.23,-46.34,2.35,5.5,516
France,FRA,EU,2021,38045.9,25.03,740.26,52.67,1557.8,31.26,24.25,717.27,23.97,0.26,6.69,6.82,2577.6,7.86,871.06,8.77,928.51,9.95,,,510
France,FRA,EU,2022,38913.94,26.62,740.79,53.82,1497.84,31.65,23.68,658.88,,0.27,6.66,2.56,2643.6,7.45,946.54,7.01,1061.14,-59.5,,,621
Germany,DEU,EU,2017,42639.55,20.96,773.69,52.11,1923.24,43.82,19.84,732.28,11.42,0.37,6.95,2.68,3524.5,3.75,1740.72,4.9,1479.08,289.66,3.05,4.87,848
Germany,DEU,EU,2018,42928.74,21.92,871.18,52.1,2070.67,43.94,19.88,790.23,11.46,0.3,6.97,0.98,3559.0,3.38,1880.26,2.22,1637.91,316.89,3.11,4.98,861
Germany,DEU,EU,2019,43284.6,22.12,860.1,51.98,2021.17,44.43,20.24,787.17,11.41,0.23,6.99,1.06,3596.6,3.14,1814.62,1.27,1594.83,317.89,3.17,5.12,824
Germany,DEU,EU,2020,41650.42,22.09,859.23,50.32,1957.17,43.5,21.96,854.36,10.56,0.08,7.16,-3.7,3463.7,3.86,1673.07,-9.27,1454.16,275.87,3.14,4.66,849
Germany,DEU,EU,2021,42726.48,23.29,992.15,49.25,2097.99,43.39,22.14,943.23,11.23,0.04,7.03,2.63,3554.7,3.57,2003.47,9.71,1776.91,329.97,,,840
Germany,DEU,EU,2022,43032.14,24.83,1011.12,51.17,2083.92,44.52,21.94,893.41,,1.06,6.89,1.79,3618.1,2.99,2049.85,2.87,1966.11,172.72,,,760
Hong Kong SAR,HKG,AS,2017,44380.8,22.07,75.32,67.09,228.97,3.98,9.83,33.55,,0.77,5.47,3.8,328.1,3.12,644.67,5.85,641.23,15.62,0.84,3.31,732
Hong Kong SAR,HKG,AS,2018,45280.49,21.99,79.56,68.29,247.04,4.01,9.93,35.9,,0.8,5.43,2.85,337.5,2.81,681.28,3.65,682.06,13.51,0.86,3.33,759
